## memory, data ready
## threads ready
# starting GA
0: pop m=76.066143 v=301.336776 f=-6.375681; best m=76.857143 v=24.122449 f=52.795996
229: pop m=79.830286 v=105.890571 f=34.724798; best m=82.714286 v=1.346939 f=77.028643
432: pop m=80.706429 v=72.782980 f=46.269523; best m=83.000000 v=0.571429 f=79.296720
637: pop m=80.937286 v=70.491143 f=46.950053; best m=82.714286 v=0.204082 f=80.501152
869: pop m=80.803000 v=69.689796 f=47.338374; best m=82.714286 v=0.204082 f=80.501152
1118: pop m=80.833571 v=69.179673 f=47.290495; best m=82.714286 v=0.204082 f=80.501152
1361: pop m=80.638714 v=72.367388 f=46.643530; best m=82.714286 v=0.204082 f=80.501152
1609: pop m=80.821286 v=69.933878 f=46.903041; best m=82.714286 v=0.204082 f=80.501152
1839: pop m=80.865429 v=68.492000 f=47.489259; best m=82.714286 v=0.204082 f=80.501152
2076: pop m=80.798429 v=69.610367 f=47.098172; best m=82.714286 v=0.204082 f=80.501152
2312: pop m=80.610571 v=68.248531 f=47.282351; best m=82.714286 v=0.204082 f=80.501152
2530: pop m=80.705571 v=68.308000 f=47.358000; best m=82.714286 v=0.204082 f=80.501152
2753: pop m=80.722286 v=71.104571 f=46.672705; best m=82.714286 v=0.204082 f=80.501152
2968: pop m=80.608000 v=67.965184 f=47.376841; best m=82.714286 v=0.204082 f=80.501152
3200: pop m=80.684714 v=70.819347 f=46.869758; best m=82.714286 v=0.204082 f=80.501152
3412: pop m=80.735000 v=68.529143 f=47.775068; best m=82.714286 v=0.204082 f=80.501152
3628: pop m=80.839143 v=70.315633 f=47.037727; best m=82.714286 v=0.204082 f=80.501152
3838: pop m=80.782143 v=68.376204 f=47.657606; best m=82.714286 v=0.204082 f=80.501152
4050: pop m=80.743714 v=70.847837 f=46.939295; best m=82.714286 v=0.204082 f=80.501152
4264: pop m=80.709143 v=69.225388 f=47.070905; best m=82.714286 v=0.204082 f=80.501152
4491: pop m=80.625000 v=69.993143 f=46.596550; best m=82.714286 v=0.204082 f=80.501152
4716: pop m=80.746286 v=67.977673 f=47.793429; best m=82.714286 v=0.204082 f=80.501152
4928: pop m=80.800429 v=66.961429 f=47.910735; best m=82.714286 v=0.204082 f=80.501152
5144: pop m=80.751571 v=70.926082 f=47.008383; best m=82.714286 v=0.204082 f=80.501152
