## memory, data ready
## threads ready
# starting GA
0: pop m=165.464263 v=2300.896366 f=-183.230153; best m=165.736842 v=531.772853 f=-3.720333
266: pop m=166.804579 v=784.096078 f=-28.489452; best m=164.631579 v=87.285319 f=95.977321
584: pop m=176.082105 v=224.668787 f=76.401265; best m=175.421053 v=36.243767 f=131.181213
906: pop m=175.740737 v=218.236044 f=83.226369; best m=176.000000 v=20.210526 f=142.964134
1227: pop m=174.942737 v=198.475130 f=91.910464; best m=174.947368 v=9.523546 f=152.269814
1549: pop m=174.783421 v=192.288089 f=95.648670; best m=175.631579 v=5.074792 f=159.077462
1886: pop m=174.732105 v=202.639546 f=92.154828; best m=175.578947 v=3.085873 f=162.670147
2220: pop m=174.681105 v=198.636892 f=95.139934; best m=175.315789 v=2.426593 f=163.868693
2540: pop m=174.839526 v=186.460471 f=98.968581; best m=175.368421 v=2.232687 f=164.388207
2879: pop m=174.763000 v=197.506947 f=96.534784; best m=175.473684 v=2.038781 f=164.981107
3214: pop m=174.865000 v=188.026017 f=99.969990; best m=175.421053 v=1.717452 f=165.790768
3549: pop m=175.004158 v=199.762438 f=96.478070; best m=175.631579 v=1.180055 f=167.648911
3881: pop m=175.051263 v=189.174233 f=99.443214; best m=175.526316 v=1.091413 f=167.849318
4220: pop m=174.850211 v=193.632665 f=98.142740; best m=175.526316 v=1.091413 f=167.849318
4556: pop m=175.022895 v=200.138488 f=97.908947; best m=175.526316 v=1.091413 f=167.849318
4885: pop m=174.950526 v=186.968981 f=100.533090; best m=175.473684 v=0.880886 f=168.576738
5224: pop m=175.060789 v=190.076177 f=99.133523; best m=175.473684 v=0.880886 f=168.576738
5559: pop m=175.060000 v=184.823374 f=101.874822; best m=175.473684 v=0.880886 f=168.576738
5887: pop m=174.899579 v=190.076510 f=100.076758; best m=175.473684 v=0.880886 f=168.576738
6221: pop m=174.876526 v=196.317335 f=97.539317; best m=175.473684 v=0.880886 f=168.576738
6550: pop m=174.968842 v=187.281280 f=99.787428; best m=175.473684 v=0.880886 f=168.576738
